XuatXu,TinhTrang,DongXe,SoKmDaDi,MauNgoaiThat,MauNoiThat,SoCua,SoChoNgoi,HopSo,DanDong,Hang,Grade,NamSanXuat,LoaiDongCo,DungTich,Gia
1,1,2,0,4,2,5,7,1,1,2,10,2013,1,2.7,1250
0,0,3,0,1,2,5,5,1,3,1,71,2023,1,1.2,849
0,0,3,0,1,2,5,5,1,3,1,71,2023,1,1.2,779
1,0,5,0,5,2,4,5,1,3,5,55,2022,1,1.2,465
0,0,5,0,1,2,4,5,1,3,3,18,2023,1,1.5,599
0,0,5,0,1,2,4,5,1,3,3,18,2023,1,1.5,569
0,0,5,0,6,2,4,5,1,3,3,18,2023,1,1.5,599
0,0,2,0,1,2,5,7,1,3,5,14,2022,1,2,950
1,0,2,0,1,5,5,5,1,3,2,4,2022,1,1.8,854
1,0,2,0,2,2,5,7,1,4,5,34,2022,2,2.4,1130
1,0,2,0,1,2,5,7,1,1,5,34,2022,2,2.4,1365
1,0,10,0,1,5,2,2,1,4,1,72,2022,1,2,3409
0,0,5,0,1,4,4,5,1,3,6,24,2022,1,1.4,545
0,0,5,0,5,6,4,5,1,3,6,24,2022,1,1.4,510
0,0,5,0,1,4,4,5,1,3,6,24,2023,1,1.4,508
0,0,5,0,1,4,4,5,1,3,6,24,2023,1,1.4,468
0,0,3,0,5,2,5,8,1,4,2,3,2023,1,2,885
1,0,2,0,1,2,5,7,0,3,1,44,2022,4,1.5,512
1,0,3,0,5,2,5,5,1,3,1,73,2022,1,1.5,608
1,0,3,0,1,1,5,5,1,3,1,73,2022,1,1.5,510
0,0,3,0,1,3,5,8,1,4,2,3,2023,1,2,840
1,0,2,0,6,3,5,5,1,3,2,4,2023,1,1.8,860
0,0,2,0,4,2,5,7,1,4,2,7,2022,2,2.4,118
0,0,2,0,6,5,5,7,1,3,3,6,2023,1,1.5,1118
0,1,2,8000,2,4,5,5,1,2,7,22,2019,1,2,1679
0,0,7,0,1,2,5,5,1,3,8,23,2022,1,1.5,719
0,0,2,0,2,2,5,7,1,4,2,7,2023,2,2.4,1107
1,0,2,0,6,3,5,5,1,3,2,4,2022,1,1.8,799
0,0,5,0,3,4,4,5,1,3,2,11,2023,1,1.5,572
1,0,6,0,1,2,4,5,1,4,5,50,2022,2,2.4,650
1,1,2,90000,1,1,5,7,1,2,6,74,2008,1,3.8,469
1,1,2,83000,1,2,5,5,1,3,3,6,2011,1,2,438
